0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,% Two or more races,N_POP_CHG_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_NET_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOV517_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,COUNTY_NAME,STATE_NAME,CNTY_FIPS,anycondition_Upper 95% CI,Obesity_Upper 95% CI,Heart disease_Upper 95% CI,Heart disease_number,COPD_Upper 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,COUNTY_NAME_N,STATE_NAME_N
10.69789064,11.91237143,10.52937416,11.12208728,12.53413911,13.05712127,5.148468824,71.35801034,4523,26.28275902,85,0.493927596,64,0.371898425,4,0.023243652,1.470160962,69,10.6,12.7,-2.1,0.1,6.2,19.8,33.5,28.7,18.0,24.4,4.4,46027,92.3,71.2,6.9,28.3,Henry,Alabama,67,54.2,37.5,11.1,1380,12.4,4.3,547,4,33,0
12.29732052,12.88458968,12.23620634,12.70220202,12.39090163,13.29138099,4.149080422,69.06285212,28491,27.20631768,566,0.540478601,1110,1.059949199,99,0.09453601,2.035866389,349,12.2,11.3,0.9,0.4,2.5,14.3,31.6,33.0,21.0,21.7,4.0,47993,96.2,71.2,6.9,22.5,Houston,Alabama,69,53.7,36.1,9.9,7367,11.2,3.8,2878,4,34,0
10.8860368,12.09602598,11.5277563,10.89376836,13.00061852,13.92647286,4.347069739,91.26140405,1855,3.585511056,870,1.68161435,303,0.585665687,57,0.110174733,2.775630122,-171,11.0,13.1,-2.1,0.2,-1.1,17.5,40.8,27.5,14.2,22.9,4.1,41929,84.1,71.2,6.9,25.7,Jackson,Alabama,71,54.3,38.5,11.8,4415,13.9,4.2,1582,5,35,0
12.7204611,12.56226301,13.93220082,13.58865463,12.167602,12.70574852,3.875322312,53.15592295,286501,43.45533141,1892,0.28697103,11676,1.77096921,376,0.057030184,1.273775216,-246,12.8,11.1,1.7,0.7,-2.0,10.3,26.8,30.6,32.4,21.1,3.7,55013,110.3,71.2,6.9,21.0,Jefferson,Alabama,73,47.4,35.6,8.3,38899,9.2,3.6,17072,1,36,0
10.82057209,12.60473851,10.56775498,10.62554175,12.73475874,13.74602716,5.431956082,87.2869113,1466,10.58942502,40,0.288933834,14,0.101126842,2,0.014446692,1.719156313,-58,9.7,14.1,-4.3,-0.1,0.2,17.6,39.9,30.0,12.5,23.1,3.8,40936,82.1,71.2,6.9,27.2,Lamar,Alabama,75,56.4,38.0,12.3,1213,14.2,4.4,442,6,37,0
10.35860024,12.2755366,14.69146092,11.05566801,11.42260275,13.18259062,4.770151645,86.97976988,9298,10.06418652,417,0.451362205,708,0.766341585,52,0.056284975,1.682054835,-204,9.4,12.1,-2.7,0.3,0.5,12.6,36.0,27.5,23.9,16.0,4.2,48707,97.6,71.2,6.9,25.3,Lauderdale,Alabama,77,48.8,35.9,9.5,6397,10.8,3.6,2469,4,38,0
11.43004521,12.19164366,11.88214947,11.06290014,12.57699427,15.21376339,3.823163516,78.19886519,3606,10.94152987,1913,5.80453318,77,0.23363777,7,0.021239797,4.800194192,-120,10.8,12.4,-1.6,-0.1,-1.9,21.0,41.5,25.8,11.7,33.2,4.2,43909,88.0,71.2,6.9,23.2,Lawrence,Alabama,79,48.3,37.5,10.6,2523,12.8,4.0,958,4,39,0
11.69933086,14.27220768,21.09417412,12.7655681,11.81217633,11.43826133,2.386224312,70.56807022,37852,23.08879414,611,0.372695055,6876,4.194191813,148,0.09027638,1.685972393,2300,11.5,6.8,4.6,2.1,9.5,9.5,24.1,32.3,34.1,19.2,3.6,48937,98.1,71.2,6.9,15.7,Lee,Alabama,81,44.5,33.4,6.9,8188,8.1,2.9,3551,4,40,0
11.812964,12.88809865,11.82232204,13.52132593,13.92996028,14.7056377,3.216045917,81.16122861,13320,13.84989706,795,0.826626739,1535,1.596065465,185,0.192359681,2.373822447,2098,10.5,8.9,1.6,0.4,20.4,15.7,30.3,28.5,25.5,15.8,3.5,64863,130.0,71.2,6.9,20.1,Limestone,Alabama,83,51.2,34.9,8.6,5840,10.2,3.3,2298,3,41,0
12.79326248,11.67034289,12.89352316,10.96851815,10.8582314,14.62803289,4.361339483,25.9173852,7236,72.54862643,37,0.370964508,44,0.441146982,4,0.040104271,0.681772609,-130,11.9,13.7,-1.9,-0.2,-11.2,22.5,38.6,24.8,14.1,40.1,7.3,33973,68.1,71.2,6.9,23.9,Lowndes,Alabama,85,63.6,47.4,11.9,849,13.5,5.3,385,3,42,0
9.187049189,13.59618201,18.63983947,9.062313574,9.65887521,12.77184229,4.544715006,16.9640436,14886,80.73105917,49,0.265741092,112,0.607408211,3,0.016269863,1.415478063,-372,9.2,13.0,-3.8,-0.1,-16.2,18.3,30.1,30.9,20.7,39.0,5.5,32495,65.1,71.2,6.9,25.1,Macon,Alabama,87,60.2,47.9,10.2,1425,11.1,4.9,697,6,43,0
11.75327882,12.80206483,13.90350841,13.19495033,12.12679288,14.86280384,3.613455237,68.84718118,91273,24.90266535,2968,0.809780666,9815,2.677896644,422,0.115137278,2.647338883,4854,11.4,8.8,2.6,1.5,10.7,8.9,20.8,28.6,41.7,15.2,3.5,63755,127.8,71.2,6.9,19.8,Madison,Alabama,89,46.5,34.4,7.7,20256,8.3,3.2,8511,3,44,0
12.39903493,12.48295395,12.23119689,10.88324767,11.85356131,13.48473723,5.066610721,46.88450645,9795,51.37417392,46,0.241267177,58,0.304206441,35,0.183572852,1.012273156,-300,12.0,14.4,-2.4,0.1,-13.2,16.2,39.8,28.6,15.4,33.1,5.0,37733,75.6,71.2,6.9,26.0,Marengo,Alabama,91,58.9,46.0,11.0,1508,12.3,4.6,645,6,45,0
10.85912038,12.03507711,11.34294258,10.99687531,12.45842153,14.36347142,5.295165138,94.02949971,1154,3.877297315,126,0.423344421,97,0.325908007,19,0.063837651,1.280112892,-8,9.6,13.6,-3.9,0.0,3.8,20.3,34.8,31.7,13.1,25.9,4.1,37887,76.0,71.2,6.9,27.3,Marion,Alabama,93,54.1,36.8,11.6,2495,13.8,4.2,902,6,46,0
13.7364867,13.44827227,12.23610692,11.8771395,12.22570207,13.12884329,3.811297589,93.00273648,2906,3.02365023,1078,1.121643134,705,0.733542124,261,0.271566659,1.846861376,500,14.2,11.8,2.4,0.4,2.8,19.1,31.1,30.5,19.2,26.9,3.4,46233,92.7,71.2,6.9,22.7,Marshall,Alabama,95,56.2,40.6,10.7,7011,12.7,3.8,2569,5,47,0
12.90781787,12.94503779,13.86997682,12.82008522,11.74650822,13.01899424,3.622657744,59.20069026,149329,36.09099061,3885,0.938956924,8548,2.065946921,179,0.043262108,1.660153182,-758,12.9,10.9,2.0,1.4,-3.8,13.8,33.5,29.8,22.9,30.4,4.7,43598,87.4,71.2,6.9,21.3,Mobile,Alabama,97,50.4,37.9,9.5,28026,10.2,3.7,11166,3,48,0
10.90805525,13.17700669,11.83842028,10.16281388,11.8953814,14.33046945,4.988845113,55.11938102,8686,41.23036028,283,1.343333175,99,0.469929273,9,0.042720843,1.794275407,-235,9.6,13.4,-3.7,-0.1,-7.4,16.3,46.1,23.5,14.1,30.1,6.2,39556,79.3,71.2,6.9,25.5,Monroe,Alabama,99,58.3,43.4,11.9,1838,13.5,4.8,750,6,49,0
13.17044866,12.98751345,14.74643764,13.42248287,11.95280006,12.42719135,3.59359151,35.94255923,133229,59.01277003,760,0.336636207,7203,3.190513946,215,0.095232611,1.422287975,-1316,13.5,9.7,3.8,1.1,-9.6,14.4,25.5,28.0,32.1,31.9,4.0,49640,99.5,71.2,6.9,19.5,Montgomery,Alabama,101,53.6,37.8,8.8,13991,9.6,3.8,6253,3,50,0
12.20179865,12.82906062,12.06576594,12.00698637,12.5998203,14.23809084,3.98777385,82.78766301,15539,13.04822444,1311,1.100857342,836,0.701995986,182,0.152826877,2.208432349,278,11.9,11.2,0.6,0.7,1.8,16.7,29.6,32.0,21.7,18.5,3.5,52797,105.8,71.2,6.9,22.4,Morgan,Alabama,103,51.1,38.9,9.6,8042,11.1,3.6,3088,4,51,0
11.29102845,15.87527352,14.72647702,9.814004376,10.50328228,11.44420131,5.175054705,30.53610503,6205,67.88840263,24,0.262582057,55,0.601750547,4,0.043763676,0.667396061,-179,11.6,14.2,-2.6,-0.1,-16.9,21.9,39.4,22.9,15.7,49.7,6.5,26814,53.8,71.2,6.9,23.5,Perry,Alabama,105,63.5,45.6,12.5,845,14.2,5.6,378,6,52,0
10.56776006,11.34015448,13.05045641,12.65924366,11.89186478,14.66044739,4.56916441,57.82927074,8019,40.21968101,48,0.240746314,67,0.336041729,67,0.336041729,1.038218477,-244,10.7,11.0,-0.3,0.1,-12.0,19.4,36.7,30.4,13.5,29.9,4.6,37586,75.4,71.2,6.9,24.7,Pickens,Alabama,107,57.6,43.2,10.8,1612,12.4,4.4,669,4,53,0
10.73849661,13.96004559,24.3985842,10.00659908,9.832623433,10.56152139,3.617493551,57.48095267,12562,37.6807247,236,0.707900894,710,2.129701842,30,0.089987402,1.910732497,-97,10.3,10.3,0.0,3.0,-2.9,19.0,33.3,24.2,23.6,29.5,4.5,37259,74.7,71.2,6.9,19.3,Pike,Alabama,109,53.1,39.1,8.3,2064,9.7,3.5,887,5,54,0
11.57315732,12.60286029,11.68316832,10.19581958,11.7579758,14.4290429,4.721672167,77.83938394,4428,19.48514851,107,0.470847085,89,0.391639164,26,0.114411441,1.698569857,42,10.9,13.7,-2.8,-0.2,4.7,21.2,36.3,27.5,14.9,28.7,4.0,40546,81.3,71.2,6.9,27.2,Randolph,Alabama,111,56.7,37.6,11.0,1796,12.9,4.1,682,6,55,0
13.8263443,12.57160658,14.30054862,13.5027085,12.17009051,13.2050328,3.137709628,49.95586785,26397,45.68456759,359,0.621311504,507,0.877451065,162,0.280368979,2.580433014,753,13.2,11.4,1.8,-0.6,11.3,16.7,32.3,34.5,16.5,32.6,4.0,39104,78.4,71.2,6.9,18.3,Russell,Alabama,113,52.9,39.8,8.9,3613,10.4,3.8,1584,3,56,0
